title,price,location,beds,baths,area,url,property_type,purpose,creation_date
NEAR RAYA 1 KANAL MODERN FULLY FURNISHED BUNGALOW WITH BASEMENT FOR SALE IN DHA PHASE 7,7.67 Crore,"DHA Phase 7 - Block R, DHA Phase 7",5,6,1 Kanal,https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_r_near_raya_1_kanal_modern_fully_furnished_bungalow_with_basement_for_sale_in_dha_phase_7-54169753-1625-1.html,House,For Sale,10 hours ago
5 Marla Luxury House for Sale | 2.5 Storey | Hot Location,2.5 Crore,"Al Rehman Garden Phase 2, Al Rehman Garden",6,6,5 Marla,https://www.zameen.com/Property/al_rehman_garden_al_rehman_garden_phase_2_5_marla_luxury_house_for_sale_2_5_storey_hot_location-54311406-4506-1.html,House,For Sale,10 hours ago
*5 Marla Beautiful Modren design House For sale*,2.65 Crore,"Bismillah Housing Scheme, GT Road",4,4,5 Marla,https://www.zameen.com/Property/gt_road_bismillah_housing_scheme_5_marla_beautiful_modren_design_house_for_sale-54435739-8446-1.html,House,For Sale,10 hours ago
Prime Location 10 Marla House In Abdalian Society,5.7 Crore,"Abdalians Cooperative Housing Society, Lahore",5,6,10 Marla,https://www.zameen.com/Property/lahore_abdalians_cooperative_housing_society_prime_location_10_marla_house_in_abdalian_society-54314541-492-1.html,House,For Sale,10 hours ago
"10 Marla Elegant And Fully Maintained, Spanish Super Hot Located Bungalow Is Available For Sale In K Block Of DHA Phase 5 Lahore.",6.75 Crore,"DHA Phase 5, DHA Defence",4,5,10 Marla,https://www.zameen.com/Property/dha_defence_dha_phase_5_10_marla_elegant_and_fully_maintained_spanish_super_hot_located_bungalow_is_available_for_sale_in_k_block_of_dha_phase_5_lahore-52767600-1447-1.html,House,For Sale,10 hours ago
10 MARLA BEAND NEW ROYAL HOUSE GOOD LOCATION NEAR TO PARK DHA PHASE 7,5.75 Crore,"DHA Phase 7, DHA Defence",4,5,10 Marla,https://www.zameen.com/Property/dha_defence_dha_phase_7_10_marla_beand_new_royal_house_good_location_near_to_park_dha_phase_7-54433096-1450-1.html,House,For Sale,10 hours ago
Brand New 3 Marla Triple Storey House For Sale In ABDALIAN HOUSING SOCIETY Best Property To Invest In C Block,2.55 Crore,"Abdalians Cooperative Housing Society, Lahore",4,3,3 Marla,https://www.zameen.com/Property/lahore_abdalians_cooperative_housing_society_brand_new_3_marla_triple_storey_house_for_sale_in_abdalian_housing_society_best_property_to_invest_in_c_block-53790099-492-1.html,House,For Sale,10 hours ago
02 KANAL BRAND NEW FULL FURNISHED AND FULL BASEMENT HOUSE FOR SALE IN DHA PHASE 6,57 Crore,"DHA Phase 6, DHA Defence",6,7,2 Kanal,https://www.zameen.com/Property/dha_defence_dha_phase_6_02_kanal_brand_new_full_furnished_and_full_basement_house_for_sale_in_dha_phase_6-52206111-1448-1.html,House,For Sale,4 days ago
22 Marla Corner Full Basement Fully Furnished Swimming Pool Home Theater And House For Sale Very Reasonable Price,9 Crore,"DHA Phase 6 - Block B, DHA Phase 6",5,6,1 Kanal,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_b_22_marla_corner_full_basement_fully_furnished_swimming_pool_home_theater_and_house_for_sale_very_reasonable_price-52495607-1611-1.html,House,For Sale,4 days ago
22 MARLA CORNER BRAND NEW FULL FURNISHED HOUSE FOR SALE IN DHA 6 LAHORE,9 Crore,"DHA Phase 6, DHA Defence",6,7,1.1 Kanal,https://www.zameen.com/Property/dha_defence_dha_phase_6_22_marla_corner_brand_new_full_furnished_house_for_sale_in_dha_6_lahore-52224068-1448-1.html,House,For Sale,4 days ago
